,Round/Pick,Player,Elapsed Time,Roto Rank Overall,Roto Rank Pos,Pick,Round
134,15 / 116,Edwin Diaz RP | NYM,44 sec,431.0,#288 P,116,15
135,16 / 125,Justin Turner 3B | LAD,10 sec,315.0,#20 3B,125,16
136,17 / 132,Corey Seager SS | LAD,16 sec,28.0,#4 SS,132,17
137,18 / 141,Kyle Hendricks SP | CHC,11 sec,46.0,#28 P,141,18
138,19 / 148,Ross Stripling RP | LAD,9 sec,11.0,#9 P,148,19
139,20 / 157,Rich Hill SP | MIN,38 sec,73.0,#49 P,157,20
140,21 / 164,Aaron Civale SP | CLE,28 sec,110.0,#81 P,164,21
141,22 / 173,Sandy Alcantara SP | MIA,14 sec,45.0,#27 P,173,22
142,23 / 180,Nathan Eovaldi SP | BOS,45 sec,106.0,#77 P,180,23
143,24 / 189,Wilson Ramos C | NYM,15 sec,1756.0,#174 C,189,24
144,25 / 196,Brandon Kintzler RP | MIA,41 sec,288.0,#197 P,196,25
145,26 / 205,Zack Britton RP | NYY ,45 sec,379.0,#260 P,205,26
146,27 / 212,Yonny Chirinos SP | TB,47 sec,294.0,#202 P,212,27
147,28 / 221,Nate Pearson SP | TOR,20 sec,154.0,#110 P,221,28
148,29 / 228,Mike Yastrzemski LF | SF,31 sec,1773.0,#948 P,228,29
149,30 / 237,Corbin Burnes RP | MIL,25 sec,355.0,#245 P,237,30
150,1 / 6,Cody Bellinger RF | LAD,6 sec,1242.0,#144 OF,6,1
151,2 / 11,Nolan Arenado 3B | COL,27 sec,646.0,#43 3B,11,2
152,3 / 22,Justin Verlander SP | HOU,12 sec,72.0,#48 P,22,3
153,4 / 27,Jack Flaherty SP | STL,26 sec,83.0,#58 P,27,4
154,5 / 38,Ozzie Albies 2B | ATL,39 sec,421.0,#28 2B,38,5
155,6 / 43,Chris Paddack SP | SD,18 sec,34.0,#19 P,43,6
156,7 / 54,Giancarlo Stanton LF | NYY,11 sec,124.0,#17 OF,54,7
157,8 / 59,Mike Soroka SP | ATL,32 sec,103.0,#74 P,59,8
158,9 / 70,Anthony Rizzo 1B | CHC,14 sec,116.0,#2 1B,70,9
159,10 / 75,Sonny Gray SP | CIN,34 sec,2.0,#2 P,75,10
160,11 / 86,Michael Brantley LF | HOU,46 sec,61.0,#11 OF,86,11
