"Round/Pick","Player","Elapsed Time","Roto Rank Overall","Roto Rank Pos"
"10 / 77","Nick Castellanos RF | CIN","45 sec","66.00","#13 OF"
"11 / 84","Jose Berrios SP | MIN","44 sec","627.00","#392 P"
"12 / 93","Eloy Jimenez LF | CHW","44 sec","130.00","#18 OF"
"13 / 100","Liam Hendriks RP | OAK","45 sec","172.00","#121 P"
"14 / 109","Roberto Osuna RP | HOU","41 sec","173.00","#122 P"
"15 / 116","Edwin Diaz RP | NYM","44 sec","431.00","#288 P"
"16 / 125","Justin Turner 3B | LAD","10 sec","315.00","#20 3B"
"17 / 132","Corey Seager SS | LAD","16 sec","28.00","#4 SS"
"18 / 141","Kyle Hendricks SP | CHC","11 sec","46.00","#28 P"
"19 / 148","Ross Stripling RP | LAD","9 sec","11.00","#9 P"
"20 / 157","Rich Hill SP | MIN","38 sec","73.00","#49 P"
"21 / 164","Aaron Civale SP | CLE","28 sec","110.00","#81 P"
"22 / 173","Sandy Alcantara SP | MIA","14 sec","45.00","#27 P"
"23 / 180","Nathan Eovaldi SP | BOS","45 sec","106.00","#77 P"
"24 / 189","Wilson Ramos C | NYM","15 sec","1756.00","#174 C"
"25 / 196","Brandon Kintzler RP | MIA","41 sec","288.00","#197 P"
"26 / 205","Jose Leclerc RP | TEX","45 sec","379.00","#260 P"
"27 / 212","Joe Musgrove SP | PIT","47 sec","294.00","#202 P"
"28 / 221","Nate Pearson SP | TOR","20 sec","154.00","#110 P"
"29 / 228","Dylan Cease SP | CHW","31 sec","1773.00","#948 P"
"30 / 237","Corbin Burnes RP | MIL","25 sec","355.00","#245 P"
"Round/Pick","Player","Elapsed Time","Roto Rank Overall","Roto Rank Pos"
"1 / 6","Cody Bellinger RF | LAD","6 sec","1242.00","#144 OF"
"2 / 11","Nolan Arenado 3B | COL","27 sec","646.00","#43 3B"
"3 / 22","Justin Verlander SP | HOU","12 sec","72.00","#48 P"
"4 / 27","Jack Flaherty SP | STL","26 sec","83.00","#58 P"
"5 / 38","Ozzie Albies 2B | ATL","39 sec","421.00","#28 2B"
"6 / 43","Chris Paddack SP | SD","18 sec","34.00","#19 P"
"7 / 54","Giancarlo Stanton LF | NYY","11 sec","124.00","#17 OF"
"8 / 59","Mike Soroka SP | ATL","32 sec","103.00","#74 P"
"9 / 70","Anthony Rizzo 1B | CHC","14 sec","116.00","#2 1B"
"10 / 75","Sonny Gray SP | CIN","34 sec","2.00","#2 P"
"11 / 86","Michael Brantley LF | HOU","46 sec","61.00","#11 OF"
"12 / 91","Frankie Montas SP | OAK","0 sec","334.00","#232 P"
"13 / 102","Carlos Correa SS | HOU","46 sec","289.00","#14 SS"
"14 / 107","Jose Abreu 1B | CHW","44 sec","346.00","#18 1B"
"15 / 118","Cavan Biggio 2B | TOR","17 sec","270.00","#19 2B"
"16 / 123","Salvador Perez C | KC","33 sec","354.00","#7 C"
"17 / 134","Yuli Gurriel 1B | HOU","45 sec","282.00","#15 1B"
"18 / 139","Eduardo Escobar 3B | ARI","0 sec","1222.00","#52 3B"
"19 / 150","Yoenis Cespedes LF | NYM","4 sec","470.00","#75 OF"
"20 / 155","Ryan Yarbrough RP | TB","47 sec","89.00","#63 P"
"21 / 166","Oscar Mercado CF | CLE","37 sec","1795.00","#321 OF"
"22 / 171","Mike Foltynewicz SP | ATL","47 sec","1815.00","#964 P"
"23 / 182","Alex Colome RP | CHW","35 sec","237.00","#163 P"
"24 / 187","Hector Neris RP | PHI","14 sec","392.00","#267 P"
"25 / 198","Eduardo Rodriguez SP | BOS","40 sec","673.00","#556 P"
"26 / 203","Bryan Reynolds LF | PIT","24 sec","1236.00","#139 OF"
"27 / 214","Mark Melancon RP | ATL","18 sec","148.00","#107 P"
"28 / 219","A.J. Pollock CF | LAD","47 sec","133.00","#19 OF"
"29 / 230","Andrew Heaney SP | LAA","14 sec","102.00","#73 P"
"30 / 235","Jake Odorizzi SP | MIN","45 sec","673.00","#490 P"
"Round/Pick","Player","Elapsed Time","Roto Rank Overall","Roto Rank Pos"
"1 / 7","Trea Turner SS | WAS","47 sec","508.00","#29 SS"
"2 / 10","Francisco Lindor SS | CLE","0 sec","301.00","#16 SS"
"3 / 23","Juan Soto LF | WAS","0 sec","1268.00","#180 OF"
"4 / 26","Mike Clevinger SP | CLE","0 sec","407.00","#274 P"
"5 / 39","Patrick Corbin SP | WAS","0 sec","87.00","#61 P"
"6 / 42","Yordan Alvarez DH | HOU","0 sec","1268.00","#738 U"
"7 / 55","Lucas Giolito SP | CHW","0 sec","615.00","#386 P"
"8 / 58","Jonathan Villar 2B | MIA","0 sec","1778.00","#113 2B"
"9 / 71","Yu Darvish SP | CHC","0 sec","38.00","#21 P"
"10 / 74","Jorge Soler DH | KC","0 sec","218.00","#68 U"
"11 / 87","Austin Meadows RF | TB","0 sec","1268.00","#150 OF"
"12 / 90","Tommy Pham LF | SD","0 sec","24.00","#6 OF"
"13 / 103","Matt Chapman 3B | OAK","0 sec","601.00","#41 3B"
"14 / 106","Eddie Rosario LF | MIN","0 sec","153.00","#25 OF"
"15 / 119","Miguel Sano 3B | MIN","0 sec","454.00","#30 3B"
"16 / 122","Lance Lynn SP | TEX","0 sec","5.00","#5 P"
"17 / 135","Aroldis Chapman RP | NYY","0 sec","673.00","#790 P"
